time,force,virtual
147.86849024,0.427884072758689,0.229565258320434
147.86949024,0.423780786995294,0.225452583309346
147.87049024,0.420143284440211,0.223320460471994
147.87149024,0.416894819125698,0.223147482790453
147.87249024,0.414065829993462,0.224909601058115
147.87349024,0.411774247683975,0.22858015475134
147.87449024,0.410215731540033,0.23412990633968
147.87549024,0.409556690509296,0.241527079018772
147.87649024,0.409810672870829,0.250737397781932
147.87749024,0.41084752928873,0.261724133812897
147.87849024,0.412526159627038,0.27444815211192
147.87949024,0.414839470107976,0.288867962308403
147.88049024,0.417948096592184,0.304939772587126
147.88149024,0.42211234629098,0.322617546656675
147.88249024,0.427590283263515,0.341853063693989
147.88349024,0.434489377667679,0.362595981163122
147.88449024,0.442692015545379,0.384793900458484
147.88549024,0.452021224253579,0.408392435251762
147.88649024,0.462465100959259,0.433335282485069
147.88749024,0.474226718411732,0.459564295881692
147.88849024,0.487707488569496,0.487019561910774
147.88949024,0.503541585992615,0.51563947807959
147.89049024,0.52257549107424,0.545360833475214
147.89149024,0.545636869663381,0.576118891416997
147.89249024,0.573138522943001,0.607847474138578
147.89349024,0.604832431674976,0.640479049389294
147.89449024,0.639959915683497,0.673944818799384
147.89549024,0.677634386557359,0.7081748079538
147.89649024,0.717081944631617,0.743097958001545
147.89749024,0.757667911056941,0.77864221872181
147.89849024,0.798828444937576,0.814734642879064
147.89949024,0.83994281369347,0.851301481796705
147.90049024,0.880324125656766,0.888268281966024
147.90149024,0.919411810488041,0.925559982618752
147.90249024,0.956891399709938,0.963101014081236
147.90349024,0.992571769433255,1.00081539682083
147.90449024,1.02620373996062,1.03862684103593
147.90549024,1.05744372617054,1.07645884666423
147.90649024,1.08591584723607,1.11423480366063
147.90749024,1.1113106905347,1.15187809243617
147.90849024,1.13359245911519,1.18931218432638
147.90949024,1.15315812326564,1.22646074191076
147.91049024,1.17072317217367,1.26324771912037
147.91149024,1.18711131827013,1.29959746094564
147.91249024,1.20316465645289,1.33543480264321
147.91349024,1.21974537627573,1.37068516828924
147.91449024,1.23776385544641,1.40527466856983
147.91549024,1.25814749874755,1.43913019766906
147.91649024,1.28168881127544,1.4721795291252
147.91749024,1.30887046995682,1.50435141053191
147.91849024,1.33981631184007,1.53557565695213
147.91949024,1.37429714594939,1.56578324294582
147.92049024,1.41166921816357,1.59490639304586
147.92149024,1.45090422409213,1.62287867061263
147.92249024,1.49086113424824,1.6496350649074
147.92349024,1.5305918518639,1.67511207630811
147.92449024,1.56938070885692,1.69924779951012
147.92549024,1.60653506347268,1.72198200464565
147.92649024,1.64116638904544,1.74325621619192
147.92749024,1.67216872166468,NaN
147.92849024,1.69850406300147,NaN
147.92949024,1.71961511803607,NaN
147.93049024,1.73558128696567,NaN
147.93149024,1.74693679265439,NaN
147.93249024,1.75437060816151,NaN
147.93349024,1.75848649604439,NaN
147.93449024,1.75974119539256,NaN
147.93549024,1.75858927537517,NaN
147.93649024,1.75572475523986,NaN
147.93749024,1.75223070731106,NaN
147.93849024,1.74938289034961,NaN
147.93949024,1.74808096447825,NaN
147.94049024,1.74837493647063,NaN
147.94149024,1.7494793656443,NaN
147.94249024,1.75013980217245,NaN
147.94349024,1.74907825803708,NaN
147.94449024,1.74530082711323,NaN
147.94549024,1.73812762139486,NaN
147.94649024,1.72706310661143,NaN
147.94749024,1.71178561643302,NaN
147.94849024,1.69236001882695,NaN
147.94949024,1.66943062121479,NaN
147.95049024,1.6440712633649,NaN
147.95149024,1.61732009683283,NaN
147.95249024,1.58980773368201,NaN
147.95349024,1.56172396005788,NaN
147.95449024,1.53295203451671,NaN
147.95549024,1.50321343413405,NaN
147.95649024,1.47222391755023,NaN
147.95749024,1.43978432384456,NaN
147.95849024,1.40565657474716,NaN
147.95949024,1.36931791939375,NaN
147.96049024,1.32996450713237,NaN
147.96149024,1.2868912039209,NaN
147.96249024,1.23993916304485,NaN
147.96349024,1.18967203083061,NaN
147.96449024,1.13718600732906,NaN
147.96549024,1.08372572141417,NaN
147.96649024,1.03040926280968,NaN
147.96749024,0.97817864989484,NaN
147.96849024,0.927856516446789,NaN
147.96949024,0.880229020719117,NaN
147.97049024,0.8361284084828,NaN
147.97149024,0.796374297729371,NaN
147.97249024,0.76148255383294,NaN
147.97349024,0.73135807663165,NaN
147.97449024,0.705318161023371,NaN
147.97549024,0.682476418124325,NaN
147.97649024,0.662086047347601,NaN
147.97749024,0.643519098860499,NaN
147.97849024,0.626075117980755,NaN
147.97949024,0.608883244349672,NaN
147.98049024,0.590881720130628,NaN
147.98149024,0.570964383222614,NaN
147.98249024,0.548294978569258,NaN
147.98349024,0.522425353050503,NaN
147.98449024,0.493136346893575,NaN
147.98549024,0.46031785465834,NaN
147.98649024,0.423984089225475,NaN
147.98749024,0.384307652951853,NaN
147.98849024,0.341692036143417,NaN
